Title,IMDB rating,IMDB votes,Genres,Audience Score,Critic Score,Critics Reviews,Audience Reviews,Streaming Platforms
A Tale of Two Sisters,6.4,246,"Drama, Short",83%,86%,63 Reviews,"25,000+ Ratings",
Stigmata,6.2,72290,"Horror, Mystery",63%,22%,93 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
The Angel Maker,4,108,"Horror, Mystery, Thriller",,,Reviews,,
Friday the 13th Part VI: Jason Lives,6,51254,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Near Dark,6.9,44766,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
La Leyenda de los Chaneques,6.4,157,"Animation, Adventure, Comedy, Family, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Alien vs. Predator,5.7,212334,"Action, Adventure, Horror, Sci-Fi, Thriller",39%,22%,146 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us, hulu"
Tremors: Shrieker Island,5.4,5296,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",37%,44%,9 Reviews,100+ Ratings,"vudu, amazon-prime-video-us"
The House That Jack Built,6.8,92099,"Crime, Drama, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Shark Bait,4.5,4680,"Horror, Thriller",28%,30%,10 Reviews,50+ Ratings,"vudu, amazon-prime-video-us"
Night Teeth,5.7,21547,"Action, Crime, Drama, Fantasy, Horror, Thriller",48%,38%,50 Reviews,250+ Ratings,netflix
Cold Skin,6,18057,"Action, Fantasy, Horror, Sci-Fi, Thriller",55%,50%,28 Reviews,250+ Ratings,"vudu, amazon-prime-video-us"
Alien: Romulus,,,"Horror, Sci-Fi",,,Reviews,,
A Nightmare on Elm Street,7.4,262641,Horror,84%,95%,58 Reviews,"250,000+ Ratings","fandango, vudu, amazon-prime-video-us, netflix"
The Fly,7.6,202026,"Drama, Horror, Sci-Fi",,,Reviews,,
Troll Hunter,6.9,79581,"Drama, Fantasy, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Look at Me,5.5,51,Mystery,69%,88%,97 Reviews,"2,500+ Ratings",
The Advent Calendar,6.3,6001,"Horror, Thriller",64%,82%,33 Reviews,50+ Ratings,"vudu, amazon-prime-video-us"
Freaks and Geeks,8.8,153313,"Comedy, Drama",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Guy Ritchie's the Covenant,7.5,162923,"Action, Drama, Thriller, War",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Crazies,6.5,128979,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Lord of Misrule,5.1,1314,Horror,,,Reviews,,
The Midnight Meat Train,6,71151,"Horror, Mystery, Thriller",50%,71%,34 Reviews,"100,000+ Ratings","vudu, amazon-prime-video-us"
Werewolves Within,6,25158,"Comedy, Horror, Mystery, Thriller",80%,86%,149 Reviews,50+ Verified Ratings,"vudu, amazon-prime-video-us, hulu"
Becky,6,24683,"Action, Crime, Drama, Thriller",,,Reviews,,
The Sadness,6.4,19191,Horror,,,Reviews,,
Lake Placid,5.8,65574,"Action, Comedy, Horror",37%,47%,96 Reviews,"100,000+ Ratings","vudu, amazon-prime-video-us"
Forbidden World,5.1,6299,"Horror, Sci-Fi",30%,60%,5 Reviews,500+ Ratings,amazon-prime-video-us
Star Wars: The Bad Batch,7.8,53533,"Animation, Action, Adventure, Drama, Fantasy, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Silver Bullet,6.4,31526,Horror,,,Reviews,,
What Lies Beneath,6.6,135778,"Drama, Horror, Mystery, Thriller",58%,47%,127 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us, paramount-plus-us"
House of the Dragon,8.4,376952,"Action, Adventure, Drama, Fantasy, Romance",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Broken Lance,6.9,4308,"Adventure, Drama, Western",62%,86%,14 Reviews,"1,000+ Ratings","vudu, amazon-prime-video-us"
Ox-Head Village,4.9,435,"Horror, Mystery",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Planet Terror,7,223344,"Action, Comedy, Horror, Thriller",77%,77%,30 Reviews,"100,000+ Ratings","vudu, amazon-prime-video-us"
Maggie,5.6,46729,"Drama, Horror, Sci-Fi",65%,83%,6 Reviews,100+ Ratings,"vudu, amazon-prime-video-us"
Sister Emanuelle,5.2,803,Drama,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Sharknado 5: Global Swarming,3.9,6938,"Action, Adventure, Comedy, Fantasy, Horror, Sci-Fi, Thriller",37%,30%,10 Reviews,250+ Ratings,"vudu, amazon-prime-video-us"
Slaughterhouse Rulez,5.3,16301,"Action, Comedy, Fantasy, Horror, Thriller",51%,38%,34 Reviews,250+ Ratings,"vudu, amazon-prime-video-us"
Night of the Living Dead,7.8,139201,"Horror, Thriller",87%,95%,84 Reviews,"100,000+ Ratings","peacock, vudu, amazon-prime-video-us"
Aragne: Sign of Vermillion,5,103,"Animation, Drama, Fantasy, Horror, Thriller",,,Reviews,,amazon-prime-video-us
Nosferatu,,,"Fantasy, Horror, Mystery",87%,97%,74 Reviews,"25,000+ Ratings","vudu, amazon-prime-video-us"
Traffik,5.9,21457,"Action, Thriller",80%,,Reviews,50+ Ratings,
Umma,4.7,10599,"Drama, Horror, Mystery",51%,31%,42 Reviews,50+ Verified Ratings,"vudu, amazon-prime-video-us, hulu"
Happy Death Day,6.6,162897,"Comedy, Horror, Mystery, Thriller",67%,71%,160 Reviews,"10,000+ Ratings","vudu, amazon-prime-video-us"
[REC] 3: Genesis,5,38152,"Comedy, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
El Conde,6.4,13349,"Comedy, Fantasy, History, Horror",63%,82%,117 Reviews,250+ Ratings,netflix
Paranormal Activity 4,4.6,70288,"Horror, Mystery",34%,23%,113 Reviews,"100,000+ Ratings","vudu, amazon-prime-video-us, max-us"
Incantation,6.2,20865,"Horror, Mystery",63%,75%,12 Reviews,250+ Ratings,netflix
The Devil's Rejects,6.7,105807,"Crime, Drama, Horror, Western",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Dead Calm,6.8,43715,"Horror, Thriller",63%,84%,31 Reviews,"25,000+ Ratings","vudu, amazon-prime-video-us"
HellKat,2.8,233,"Action, Horror",,,Reviews,,"vudu, amazon-prime-video-us"
Hellbound: Hellraiser II,6.4,56166,"Horror, Thriller",58%,53%,32 Reviews,"25,000+ Ratings","vudu, amazon-prime-video-us"
Without Warning,5.1,4705,"Horror, Sci-Fi, Thriller",,,Reviews,,
Silent Night,5.3,18915,"Action, Thriller",,,Reviews,,
I Still Know What You Did Last Summer,4.7,78683,"Horror, Mystery, Thriller",29%,7%,58 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us, paramount-plus-us"
The Poughkeepsie Tapes,6,24758,"Horror, Mystery, Thriller",51%,60%,5 Reviews,"25,000+ Ratings",
Ouija: Origin of Evil,6.2,73142,"Drama, Horror, Mystery, Thriller",57%,83%,127 Reviews,"10,000+ Ratings","vudu, amazon-prime-video-us, netflix"
Gremlins 2: The New Batch,6.4,112894,"Comedy, Fantasy, Horror",59%,71%,66 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
Twilight Zone: The Movie,Not Found,,,55%,60%,42 Reviews,"25,000+ Ratings","vudu, amazon-prime-video-us"
Curve,5.4,12016,"Horror, Thriller",53%,0%,8 Reviews,"2,500+ Ratings","vudu, amazon-prime-video-us"
Leprechaun,4.8,30514,"Comedy, Fantasy, Horror",33%,35%,17 Reviews,"25,000+ Ratings","vudu, amazon-prime-video-us"
Deep Rising,6.1,40800,"Action, Adventure, Horror, Sci-Fi",43%,34%,35 Reviews,"10,000+ Ratings","vudu, amazon-prime-video-us"
The Invasion,5.9,82705,"Sci-Fi, Thriller",40%,20%,164 Reviews,"100,000+ Ratings","vudu, amazon-prime-video-us"
Inside Out 2,,,"Animation, Adventure, Comedy, Drama, Family, Fantasy",,,Reviews,,
Sphere,6.1,112538,"Action, Mystery, Sci-Fi, Thriller",38%,13%,55 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
The Lodge,6,57901,"Drama, Horror, Mystery, Thriller",51%,75%,183 Reviews,250+ Verified Ratings,"vudu, amazon-prime-video-us, max-us"
Sister Death,5.7,7486,"Horror, Mystery",66%,82%,17 Reviews,100+ Ratings,netflix
Winchester,5.4,36760,"Biography, Drama, Fantasy, History, Horror, Mystery, Thriller",32%,13%,132 Reviews,"2,500+ Ratings","vudu, amazon-prime-video-us"
The Blob,6.6,43545,"Horror, Sci-Fi, Thriller",52%,68%,31 Reviews,"25,000+ Ratings","amazon-prime-video-us, max-us"
Darkness Falls,5,33394,"Fantasy, Horror, Mystery, Thriller",34%,10%,132 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
30 Days of Night: Dark Days,4.3,14301,"Horror, Thriller",14%,17%,6 Reviews,"2,500+ Ratings","vudu, amazon-prime-video-us"
The Visit,6.3,151574,"Horror, Mystery, Thriller",,,Reviews,,
The Forest,4.8,45704,"Horror, Mystery, Thriller",,,Reviews,,
Supernova,4.8,19422,"Horror, Sci-Fi, Thriller",9%,,Reviews,500+ Ratings,amazon-prime-video-us
Queen of the Damned,5.2,59982,"Drama, Fantasy, Horror",66%,17%,130 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
The Witches,5.4,46602,"Adventure, Comedy, Family, Fantasy, Horror, Mystery",70%,94%,48 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
Scanners,6.7,61795,"Horror, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Appendage,5.3,3662,"Drama, Horror",60%,50%,24 Reviews,50+ Ratings,hulu
Species II,4.5,31337,"Action, Horror, Sci-Fi, Thriller",18%,9%,34 Reviews,"25,000+ Ratings","vudu, amazon-prime-video-us, max-us"
Piggy,6.2,13000,"Drama, Horror, Thriller",29%,18%,11 Reviews,100+ Ratings,"vudu, amazon-prime-video-us"
REC,7.4,196801,"Horror, Mystery, Thriller",82%,90%,42 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
Bait,5.2,19458,"Action, Fantasy, Horror",,,Reviews,,"vudu, amazon-prime-video-us"
Them,7.5,25218,"Drama, Horror, Thriller",,,Reviews,,
Open Water,5.8,56472,"Adventure, Drama, Horror, Thriller",33%,71%,196 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
The Last House on the Left,6.5,100453,"Horror, Thriller",52%,43%,169 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
The Human Centipede (First Sequence),4.4,87315,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Zombies 3,5.4,3403,"Drama, Family, Musical, Romance",60%,75%,8 Reviews,100+ Ratings,"vudu, amazon-prime-video-us, disney-plus-us"
Clock,5,5901,"Drama, Horror, Thriller",82%,100%,15 Reviews,"1,000+ Ratings","vudu, amazon-prime-video-us"
Vampire Hunter D: Bloodlust,7.6,35833,"Animation, Action, Drama, Fantasy, Horror, Romance, Sci-Fi",86%,70%,33 Reviews,"25,000+ Ratings",
The Winter Witch,2.3,229,Horror,,,Reviews,,"vudu, amazon-prime-video-us"
The Changeling,7.1,40040,"Horror, Mystery",60%,,Reviews,Fewer than 50 Ratings,
Berlin Syndrome,6.3,27646,"Drama, Horror, Mystery, Thriller",53%,74%,90 Reviews,"2,500+ Ratings","vudu, amazon-prime-video-us, netflix"
Haunting of the Queen Mary,4.1,3626,"Drama, Horror, Mystery, Thriller",54%,67%,15 Reviews,100+ Ratings,"vudu, amazon-prime-video-us, hulu"
Visitor Q,6.5,17058,"Comedy, Drama, Horror, Thriller",72%,60%,10 Reviews,"5,000+ Ratings",
Leprechaun 3,5,9406,"Comedy, Fantasy, Horror",35%,0%,5 Reviews,"10,000+ Ratings","vudu, amazon-prime-video-us"
Nightbooks,5.8,10537,"Family, Fantasy, Horror, Mystery",58%,88%,32 Reviews,100+ Ratings,
Tremors II: Aftershocks,5.9,32754,"Action, Comedy, Horror, Sci-Fi, Thriller, Western",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Jaws: The Revenge,3,49575,"Adventure, Horror, Thriller",15%,0%,41 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
The Girl with All the Gifts,6.6,64444,"Action, Adventure, Drama, Horror, Sci-Fi, Thriller",67%,85%,131 Reviews,"5,000+ Ratings","vudu, amazon-prime-video-us"
Cujo,6.1,51009,"Horror, Thriller",45%,59%,46 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us, max-us"
Les ténèbres révélées de Silent Hill révélation 3D,,,Documentary,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Tenebrae,7,27445,"Horror, Mystery, Thriller",78%,81%,27 Reviews,"5,000+ Ratings",vudu
The Vault,6.4,30862,"Action, Thriller",,,Reviews,,amazon-prime-video-us
Fright Night,7.1,78687,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Fog,6.8,83047,"Horror, Thriller",,,Reviews,,
Megalodon,2.8,2565,"Action, Adventure, Horror, Sci-Fi, Thriller",19%,,Reviews,"1,000+ Ratings",
Exorcist II: The Heretic,3.8,28398,Horror,13%,11%,65 Reviews,"25,000+ Ratings","vudu, amazon-prime-video-us"
Wish Upon,5.1,22897,"Drama, Fantasy, Horror, Mystery, Thriller",31%,20%,92 Reviews,"2,500+ Ratings","peacock, vudu, amazon-prime-video-us"
Tale of Tales,6.4,31218,"Drama, Fantasy, Horror",56%,83%,105 Reviews,"5,000+ Ratings","vudu, amazon-prime-video-us"
Friday the 13th Part VIII: Jason Takes Manhattan,4.5,43102,"Adventure, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Piranha 3D,5.5,96723,"Comedy, Horror",45%,74%,133 Reviews,"50,000+ Ratings",
The Ruins,5.9,84335,"Adventure, Horror, Thriller",30%,50%,98 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
Rosemary's Baby,8,235320,"Drama, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Men,6.1,63406,"Drama, Fantasy, Horror, Thriller",39%,69%,267 Reviews,250+ Verified Ratings,"vudu, amazon-prime-video-us, max-us, paramount-plus-us"
The Gift,7,172211,"Drama, Mystery, Thriller",,,Reviews,,
Laserblast,2.8,6706,"Horror, Sci-Fi",15%,,Reviews,250+ Ratings,amazon-prime-video-us
Mega Lightning,2.2,269,"Action, Horror, Sci-Fi, Thriller",,,Reviews,,vudu
Climax,6.9,79463,"Drama, Horror, Music, Thriller",66%,69%,185 Reviews,"1,000+ Ratings","vudu, amazon-prime-video-us"
Halloween: The Curse of Michael Myers,4.7,42064,"Horror, Thriller",36%,8%,37 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us, paramount-plus-us"
The Prodigy,5.9,28329,"Fantasy, Horror, Mystery, Thriller",,,Reviews,,
The Prodigy,5.9,28329,"Fantasy, Horror, Mystery, Thriller",,,Reviews,,
Resident Evil: Degeneration,6.4,33210,"Animation, Action, Horror, Sci-Fi, Thriller",57%,67%,6 Reviews,"10,000+ Ratings","vudu, amazon-prime-video-us"
Halloween II,6.5,101747,Horror,63%,33%,48 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
Cult Killer,4.6,1445,"Adventure, Crime, Drama, Mystery, Thriller",31%,42%,12 Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
The Cell,6.4,109136,"Crime, Horror, Sci-Fi, Thriller",,,Reviews,,
Day of the Dead: Bloodline,3.4,12460,"Action, Drama, Horror, Sci-Fi, Thriller",9%,11%,9 Reviews,250+ Ratings,"vudu, amazon-prime-video-us"
The Haunting of Hill House,8.5,288528,"Drama, Horror, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Mothman Prophecies,6.4,84817,"Drama, Horror, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Devil's Backbone,7.4,71029,"Drama, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Green Inferno,5.3,49447,"Adventure, Horror",29%,38%,100 Reviews,"10,000+ Ratings","vudu, amazon-prime-video-us"
Deep Blue Sea 3,4.7,7288,"Action, Horror, Sci-Fi",63%,73%,15 Reviews,250+ Ratings,"vudu, amazon-prime-video-us"
Mary Reilly,5.8,15824,"Drama, Horror, Romance, Thriller",40%,26%,43 Reviews,"10,000+ Ratings","vudu, amazon-prime-video-us"
Night Shift,5.2,1443,"Horror, Thriller",63%,93%,28 Reviews,"5,000+ Ratings","vudu, amazon-prime-video-us"
Return of the Living Dead II,5.7,21560,"Comedy, Horror, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Kaala Paani,8,9457,"Drama, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
I Saw the Devil - IMDb,,,"Action, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Collector,6.3,72252,"Horror, Thriller",,,Reviews,,
Redcon-1,3.8,3692,"Action, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Doom: Annihilation,3.8,10395,"Action, Adventure, Horror, Sci-Fi, Thriller",15%,43%,7 Reviews,250+ Ratings,"vudu, amazon-prime-video-us"
1408,6.8,294320,"Fantasy, Horror, Mystery",61%,80%,177 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
The Messengers,5.3,41217,"Drama, Horror, Mystery",44%,11%,83 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
30 Days of Night,6.6,189503,"Action, Horror, Thriller",56%,51%,158 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us, netflix"
The Strangers: Prey at Night,5.2,34723,Horror,35%,40%,126 Reviews,"1,000+ Ratings",max-us
Sharknado 3: Oh Hell No!,4,13852,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Stay Alive,5,34043,"Fantasy, Horror, Mystery, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
13 Exorcisms,4.4,747,"Horror, Thriller",,,Reviews,,
Quarantine,6,77405,"Horror, Sci-Fi, Thriller",,,Reviews,,
Unfriended: Dark Web,6,38411,"Horror, Mystery, Thriller",40%,59%,120 Reviews,"1,000+ Ratings","vudu, amazon-prime-video-us"
Shark Night,4.1,27202,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Paranormal Activity 3,5.8,99775,"Horror, Mystery, Thriller",51%,66%,126 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us, max-us"
The Rocky Horror Picture Show,7.4,167003,"Comedy, Horror, Musical",85%,80%,49 Reviews,"250,000+ Ratings","fandango, vudu, amazon-prime-video-us"
Hellraiser III: Hell on Earth,5.5,35066,Horror,35%,38%,21 Reviews,"25,000+ Ratings","vudu, amazon-prime-video-us, paramount-plus-us"
Separation,4.7,5712,"Drama, Horror, Mystery",,,Reviews,,
The Conference,5.7,11645,"Comedy, Horror, Mystery, Thriller",85%,90%,10 Reviews,Fewer than 50 Ratings,
Killer Klowns from Outer Space,6.2,45508,"Comedy, Horror, Sci-Fi",60%,77%,26 Reviews,"25,000+ Ratings","fandango, vudu, amazon-prime-video-us"
The Room,3.6,95042,Drama,47%,24%,33 Reviews,"10,000+ Ratings",
Mandy,7.3,2158,Comedy,95%,,Reviews,50+ Ratings,
The Dead Don't Die,5.5,85489,"Comedy, Fantasy, Horror, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Godzilla: King of the Monsters,6,207204,"Action, Adventure, Fantasy, Sci-Fi",73%,83%,24 Reviews,"5,000+ Ratings",vudu
Saint Maud,6.7,47090,"Drama, Horror, Mystery, Thriller",67%,92%,193 Reviews,500+ Ratings,"vudu, amazon-prime-video-us"
Saint Maud,6.7,47099,"Drama, Horror, Mystery, Thriller",67%,92%,193 Reviews,500+ Ratings,"vudu, amazon-prime-video-us"
